Age,Gender,Comment
50-64,FEMALE,Good hotel Nice Staff This hotel is on the second floor of a multi-storied building. A business is on the first floor. It is decorated nicely and our room was a good size as was the bathroom. The breakfast was bread pastries cereals etc. and very good cappuccinos. It is a short walk to the Accademia and the rest of the tourist attractions are a walkable distance but we were told the buses went by frequently if you want to walk. There seem to be any restaurants etc. in the immediate area around the hotel which may bother some people. The big plus for this hotel was its pleasant and informative staff. Each one was very courteous and helpful. The desk clerk and the two of us were the only ones up at 5:30AM when she called a cab for us. The cab came in 5 minutes. Now service
25-34,MALE,Very comfortable; central location This is a very nice hotel that American travelers will identify with - by that I mean it was air conditioned and nicely appointed. Modestly sized for European hotels it was very comfortable for one or two people. The room was very clean.The decor is modern. Interestingly the shower area had a glass wall that was shared with the sleeping area. Modesty is preserved through strategically placed glass frosting but if youre traveling with a non-intimate friend you might be a bit uncomfortable. Also the bathroom had a bottle opener on the wall which I thought very considerate it probably avoids damage to the surfaces - who among us have not found novel ways of opening bottles?.The room included an in-room safe that fit a 15 laptop much appreciated and a mini-bar which I didnt use. A flat panel TV with several English channels was included. Free internet was provided which is unique in European hotels.The location is very convenient between the Amsterdam Centraal Station and the big museums Van Gogh and the Rijksmuseum. Its about a 20 minute walk or so from the station but there is a tram station about 50 yards from the hotel on Rembrandt Square. Tram line 4 and 9 go between the rail station and Rembrandt Square. The hotel is just off the square. It doesnt look like much from the street but appearances are deceiving. There is a restaurant attached which I didnt use.All in all a very nice hotel that American travelers will find familiar and very comfortable. On a personal note they allowed me to check in at 10am which I very much appreciated. This was not arranged ahead of time.
50-64,MALE,clean and comfortable we thought this hotel was very good close to all amenities though it is in a little seedy area we had no problem at all the pool is small but the sunbeds and chairs on the decking are very comfortable and a good view breakfast is continental style  everything there you would want it could pay you to bring your own teabags though never had evening meal there is a little road noise but if you are higher than 2 floor or at the rear it is no problem especially after a couple of drinks on the ramblas will go back again
25-34,MALE,Very modern Prince Kuhio - Ocean View
65-XX,MALE,Great holiday My wife and I have travelled all over the world. We staid at the Catalonia from Dec. 1 to Dec. 15 2007. After reading earlier reviews on this site I was somewhat wary of what we were going to find once there. What a surprise We had 2 outstanding weeks. We had heard that mosquitoes were aboundant. We saw none. Food was supposed to be very poor. In fact it was quite good. We had breakfast at the beachside buffet dining room lunch at the poolside grill and pizza bar which serves grilled chicken burgers dogs as well thin crusty pizza cooked in a wood-burning oven. What a snack Dinner was always in the main dining room. The buffet was varied and you had many options even if you were not into fish or seafood. Our studio was at ground level and looked out onto the golf course. The king-size bed was excellent. Coffee and perculator were provided so we could have coffee in the room at any time. A bonus was the oversize sooker tub with plenty of hot water at any time of day as well as a convenient shower. The studio was kept immaculately cleen. 1$US per day left on the pillow works wonders. Try it...My wife loved walking the many paths in the parklike central area of the property. We are in our early sixties yet we were surprised to find so many families with young children and an astounding number of young babies. It is a very good sign when you spend 2 weeks in a semi-tropical location like Punta Cana and never hear of anyone becoming sick or indisposed. I think it is to the credit of this hotel that they consider good hygienic practices in order to assure the coninued comfort of their guests. The management goes to great lengths to provide a good beach but it is always at the mercy of prevailing winds which bring weeds after breaking over the outer coral reef.The animation team is always busy trying to keep people busy and happy. Evening entertainment is typical of al the other hotels imilar in size in the D.R. If you are looking for for an enjoyable uncomplicated relaxing holiday this is a good place. I definitely recommend it for families with young children 6 mos. to 10 years old couples who just want to relax as well as older travellers. The hotel isalso well suited to people who might have some difficulty walking about - the only requisit is to reserve a ground-level studio.Happy
65-XX,MALE,Fabulous Hotel with very friendly staff From the warm welcome to the sad goodbye  our stay at the hotel was great in every aspect .Breakfast has to be experienced to be appreciated although dinners could be expensive . However  as usual  you get what you pay for .All the hotel staff from the General Manager  yes he is easily available  downward are extremely friendly  welcoming and eager to please .There are hawkers on the beach but they also have the Balinese gift of a warm smile and friendly disposition .The guests are cosmopolitan with no rowdiness and a genteel air of luxury and laziness prevails .The hotel  in summary  satisfied all of our holiday wishes .
25-34,MALE,great hotel great value great location ... to bad for the A/C My wife and I stayed ther this past October. Its a marvelous hotel quite chic and nice cozy rooms. The buffet breakfast is outstanding and not only for european standards.The location though a 5min walk to the nearest metro station Anton Martin its very convenient. Right infront of Plaza de Santa Ana and a 10min walk to Sol Gran Via Atocha Station etc....The only incovenience we found was that the AC system wasnt working due to the fact that its centralized and switched to heat for the cold season. But it was raining outside so having the windows opened was not an option nor turning on the AC or heat. So we had to manage ourselves to cool down a bit. That aside I would definetely recommend the hotel and for sure make sure the next time either the AC works properly or rain/snow is not forecasted 
35-49,MALE,Over Priced Over Designed Disapointment What a disapointment this hotel isThere is so much more to a trendy boutique hotel than just a beautiful building and unfortunately this is the only thing going for the Dylan. Hotel staff were very dismissive to the point of ignoring you when you are actually standing in the reception room. We had early check-in booked as we were on an early flight however the room was not ready until almost 3pm none of the staff offered an explaination or apologised for the inconvenience. Check-in to the room only to have house keeping come in about 10min after arrival to re-stock the mini bar explaining they had not had time to do it yet but would do it now so we would not be charged for missing items. Unbelievable.The rooms whilst supposedly designer chic are ridiculously over designed. We had the kimono/japanese inspired room which required you to bend over to see into the bathroom mirror sit on your knees to have a shave or use the small shaving mirror which was located on the adjacent wall but the lighting cast a massive shadow which made this useless. The shower dribbled against the wall so we got the maintenance person to put a new one in only to find it was equally useless. The rooms have a table and chair at the end of the bed or a couch located directly under the plasma tv on the wall again useless. Not really designer chicWe expressed our concerns to the hotel manager who advised we could not be moved on out first night but he could change our room on the second. Not wanting the hassle we opted to stay in the existing room and having spoken to other guests it sounds as though the other rooms are equally overdesigned although we did not see them first hand.A really disapointing overpriced hotel. Definately not worth the money. Would not stay here again.
25-34,FEMALE,loved it My mother and I stayed here for a long weekend and we both loved the hotel. The location is very central close to oxford street and mable arch - still our room was soo quiet Stayed in a standard room - a little small as we imagined - but very clean and stylish. The staff is very nice polite and helpfull made our experience even greater. Overall - loved it
18-24,FEMALE,Great Location Fron of hotel
65-XX,FEMALE,Small quiet and friendly Stayed here for 4 nights late September and were given a larger room with juliette balcony - rooms not large by American standards but good for Paris they also have suites suitable if you have a family. Comfortable beds and air conditioning and unusually for European hotels a kettle with tea bags in the room and an iron and ironing board. I wish all hotels would do this. Excellent friendly welcome good English spoken breakfast with cereals boiled eggs pastries and good coffee and juice in small dining room. We particularly liked the quiet street without the traffice noise normally found in Paris.Small food shops just round the corner and not far to restaurants or metro but be prepared to do a lot of walking taxis are not that easy to get take comfortable footwear
65-XX,FEMALE,Lovely Hotel Lovely grounds and pool areas. Beach rooms are dark and gloomy linen/towels could do with replacing. Bathrooms in need of refurb but would still recomment this hotel and stay here again. Staff very friendly. Pool bar very popular especially at happy hour. Personally dont like Indonesian food but cakes fabulous and breakfast okay. Top tip get up early to get a sun lounger seems that pool man may be earning a few rupiah by reserving for some guests - you know who you are. Evening dance entertainment excellent.Very friendly place clean well kept and beautiful gardens which are sprayed each evrening to keep insects at bay beach lovely -slopes a bit into sea but quite fun getting in and out.Best in Sanur and good value.
65-XX,MALE,OK for the Price but Look Elsewhere The hotel was OK a little run down with average cleanliness but we chose it for price as Seattle is quite expensive. We didnt get the room/bed that we reserved and the staff was unhelpful. Best Westerns used to always have nice hotels but this one doesnt fit that mold. Well choose a different hotel probably more expensive the next time we visit Seattle.
50-64,MALE,Central location My wife and I stayed at The Handlery for two nights on route to Hawaii. The hotels location was very convenient for sight seeing around San Francisco close to numerous places to eat and drink a cable car ride and many major department stores were all within walking distance. The purpose of our holiday was to celebrate our 30th wedding anniversary and on arrival we were greeted by John Handlery Vice Pres and a bottle of champagne and a basket of friut etc were bought to our room. We found the overall experience very enjoyable and would recommend this hotel to others.One small complaint. Our room had no wardrobe space although this may had been different had we been staying longer.
25-34,MALE,fun place for honeymoon we went to honolulu as a side trip from our main honeymoon in kauai. overall i would say that i prefer kauai 10 to 1 over honolulu but that is not the point of this post after all. first off the outrigger is in GREAT location. it really cant be beat. the property has a number of GREAT restaurants esp Dukes. we were there on a sunday and some locally famous musician was playing outside at Dukes--it was a real party and packed with locals. that being said this hotel may be best for the younger crowd who likes loud music and partying. the view from our room was spectacular. we book oceanfront and starred off miles into the pacific every morning. no sunset views from anywhere in the building though--the sheraton is in the way. The pool area was fun and poolside service is good. food not too expensive and drinks are standard. a tip for those like me who want to save money on alcohol--go across teh street and buy your stuff from ABC and bring along a soft sided cooler from home and tote it with you to the pool. no one will stop you. The only problem with this places as I see it is the cost. we paid 350 for our room and yes had a great view but it just felt lacking for that price. The inside seems a little bit old and out of date. The service was nice but I did NOT like the check in process. The guy sat us down and offered us a drink and everything is going fine. Then the guy starts talking real loud about how much the room will cost and all of that. My wife almost lost it when she found out how much it was. Whether you prices are high or low please use some discretion I know how much it costs--I booked the darn thingdefinitely see pearl harbor. we rented a car for 2 days from budget at the airport and only paid 50 bucks TOTAL. just avoid buying any of their insurance. We paid as much in parking 25/day as we did for the car.overall if i go back to waikiki unlikely I would stay here again. Maybe I would just go for the cheapest room I could get and not worry about it b/c apart from the view theyre all the same and not really that nice. spend most of your time at their pool beach and restaurants which are all genuinely fun.
18-24,FEMALE,Not 5 Star I recently got back from this hotel on the 21st December 2007 after a weeks stay in what i thought would be a 5 star hotel. Dont get me wrong it was well worth what we paid. However WARNING I advise that if you are travelling from the UK you DO NOT upgrade your room through your travel agent. Wait until you get there. I had set my heart on a room with a jacuzi and was utterly disappointed. We booked through the agent and paid an extra 300 dollars only to find that when we got there we had been upgraded to the Deluxe Suite which was in building 2 not 7. After enquiring at reception we could have paid that amount at the reception for the room we wanted however although we had already paid one this was a standard upgrade charge so then would have to pay again AS IF IM MADE OF MONEY anyway after that we got into a room in building 2. It was adequate the air con was an absolute god send. The alcohol was absolutely disgusting i hardly drank anything all week. The food i would say was ok. Breakfast had a very good choice and was to a good standard and the evening meals were ok didnt get ill thank god As for the beach it was lovely. However be careful as you will continually be hassled everywhere on this resort by shop owners time share guys watersports guys etc They drove me in sane Also watch out for the local market people that appear at the resort twice a week just dont even look i spent half an hour getting very stressed trying to tell them that i WAS NOT going to pay 150 dollars for a stone necklace They think your stupid All in all i had a wonderful time here due to the fact that we booked on lots of excursions. Therefore not spending much time on the resort. Definately do the Outback Safari its a fantastic day out. Just hope you dont go on a day when there is a tropical storm like we did.  If you go with an open mind you will love it here just expect the rooms to be anything like the pictures. The food also looks like its from a glossy magazine How WRONG Take money with you and do the trips And last but most importantly if any one approaches you JUST SAY NO
65-XX,FEMALE,A very nice place to stay View of the courtyard
65-XX,MALE,Very Nice Stay We stayed at the Park Hotel Shiodome October 27-30 2006. We generally agree with the positive reviews. High quality room not large but this is Japan and we had great city views of the Tokyo Tower and surroundings from the 28th floor. Found a very high level of service from greeting us at ground level and taking us to check in on the 25th floor. Staff at desk had fluent English. The room has nice amenities and as said by others nice to get an English newspaper International Herald Tribune combined with English version of Asahi Shimbun. We booked over the internet for 17500 yen per night not particularly cheap but not bad for Tokyo.It is a bit confusing to find especially at ground level because of construction right now and it is across from the somewhat similarly named Royal Park Hotel. Like others we had some trouble navigating at first until we found that if you exit at the 3rd floor you can exit turning left to reach an upper level walkway that takes you past the Royal Park on your right then you turn left to reach Shimbashi station which has the Yamanote rail and Ginza subway lines. If you take the escalator down near the Royal Park there are restaurants and shopping. Also on the 3rd level if you go right past the new yurakicho sky train station you reach the Pedi Shiodome which has some very nice restaurants and coffee shops which we frequented. We also ate in the underground by Shimbashi station. We did not eat in the hotel though on the ground level there is nice cafe Cafe Des Artes.We have stayed at Keio Plaza in Shinjuku previously and the ANA in Roppongi. While the ANA is a superior hotel we found the Park to be good value for the money. Unlike another reviewer we did mind being a little out of the action and having a bit of a quiet retreat in a smaller more boutique like hotel. We would happily stay there again.
18-24,FEMALE,Highly recommend this outstanding resort Majestic was everything we dreamed of and more for our wedding. We flew down with avid travellers who were blown away with this resort do not have any doubts. stay here you will not regret it it brings tears to my eyes thinking of the memories I will forever hold in my heart.If you have any questions feel free to ask I chose not to write a lengthly review as there is just too much to say.
65-XX,MALE,Very Comfortable Holiday at the L T I Left nov 29 to dec 13This was our first experience with LTI and we really enjoyed it. The rooms are kept very clean and the service is top notch. What I personally like about this resort is that it is not so huge as to be intimidating. You get to know the staff  who are very friendly and accomodating in every way. I really felt relaxed and quite at ease. There were ampel chairs around the pool as well as at the beach. Towels were plentifull. The food was very good and the variety was exceptional.
50-64,FEMALE,Absolutely divine We stayed 4nights at the Ca dei Dogi apartment which is immediately oppsite the main boutique hotel. Stefano and Suzanna are the most delightful helpful hosts/owners. We arrived in the pouring rain and were immediately taken to our 6th floor apartment to enable us to dry out and relax. Stefano threw open the shutters to our terrace to reveal a view to the palace and campanile. The terrace is framed by pots and pots of miniature roses. Our apartment was spacious with fully equipped kitchen living room seperate bedroom and bathroom and was immaculately clean. The location - superb The Bridge of Sighs is 10 metres away and St Marco square is a 2 minute walk - get up at dawn and stroll to the square to see it empty of crowds - breathtaking
25-34,FEMALE,Great rooftop hangout Rooftop of Il Bargellino
65-XX,FEMALE,Great Value for the Money Just returned from our 2nd visit to Waikiki West enjoyed this trip as much as last year. Since we both smoke we were given an unrenovated room with kitchenette on the 1st floor by the pool which was great as I use a wheelchair didnt have to always wait for a mostly empty elevator. Speaking of the elevators we had a good time going to different floors as many people didnt know how to use their room card correctly to hit the right floor. We heard very little grumbling about the mixups mostly people treated it as an adventure. The staff was great - everything we asked for we received in record time. We tipped housekeeping every day a thank you note was left for us. Our room was large enough to accommodate the wheelchair; it was very clean - no bugs; any dishes left in the sink were washed for us; bell staff were more than kind helpful. As others have stated the WW is right on the bus line a short walk to the beach right across from The Pantry which has everything anyone could need for their stay. A word of warning if you eat at Chilis dress warmly as the temperature is somewhere around freezing but the food is worth it. Cant wait to return next year Aloha
25-34,FEMALE,Amazing hotel; couldnt have asked for more View from 17th flr balcony
25-34,MALE,Wonderful vacation South Pacific Hotel
65-XX,MALE,Very nice weekend downtown hotel This is probably the 4th or 5th time we have stayed at the downtown Omni Hotel on South Olive in Los Angeles. We stay there after driving over from Phoenix to attend the LA Opera and can easily walk to Dorothy Chandler Music Center. Also the weekend rates are reasonable about $109.00 before taxes via a website registration. However there a a $24.00 per night parking charge for guestsThe rooms we have had were all large and very pleasant often with good views. The bathrooms have separate tubs and showers and excellent toiletries. The closets are spacious and have plenty of hangers. In short this is a true 4 star hotel and our only problem was that we requested a king size bed and received two queens on this stay.The lobby entrance is off Olive street on the first floor. The two restaurants one the high end dinner spot Noe and the other a full service cafe are on the third floor which leads out to Grand Avenue directly adjacent to the Museum of Contemporary Art. This occurs because the hotel is on top of Bunker Hill so Olive Street is below Grand Avenue at this point.There are a number of downtown restaurants but usually they are not busy on weekend nights. We often have breakfast at a deligtfully funky and very inexpensive spot about a mile and a half away on Figueroa and 9th Street.The hotel is fairly quiet on weekends except for the occasional wedding or high school prom; but I imagine would be a lot more active during the week since it is in the heart of the Los Angeles high rise business district.We recommend this hotel.
25-34,FEMALE,Fabulous Time I just returned home from a week vacation at Iberostar. I went from the 25th of Nov to the 2nd of December with my family and best friend.The hotel was beautiful. The landscaping was jsut wonderful..the gardens were maintained very well and they were very colourful. The beach was also very nice and aswell was the pool. It was kind of hard to find a good chair on the beach you had to look kind of hard. There was a great variety of bars all across the resort my favorite had to ahve been the lobby bar. The Bartenders were very nice and helpful when choosing a good drink. A really good drink id recommend to try would be an Iberostar or an Alexandre..tey were so tastyThe entertainment was prety good and the night show was generally very well done. The animacion staff were very friendly and tried to get everyone involved. They ahd a beach party the one night and it was quite a fun time. The disco was really neat and they played a large variety of good music.We went on 2 of the excursions..We went snorkeling with the sharks and sting rays and also to Saona Island. Saona island wasnt really something that I would recommend.The service at the hotel was awesome they seemed to be able to tend to everything you needed..The one tihng I jsut wasnt to happy with was the food..Al though alot of people seemed to enjoy it I wasnt a big fan.But I would recommend getting a reservation at the stake house beucase the food was really good there. it was probably the best all week.Overall this resort was fantastic I have been to the Dominican twice and now and would definatly love to go back. I would recommend this to many people and definatly people looking for alot of fun. I hope this is helpful
35-49,FEMALE,Very nice but.... my grandson in the pool
25-34,MALE,5 Star Grounds but 4 Star Service To set the table properly my wife and I decided on this resort after a few early reviews regarding the place. We travel a couple of times a year and enjoy in order: Grounds Beaches Pools Service Food and Entertainment. We average 29 years of age and have been to Bahamas Jamaica Cancun Playa Del Carmen and many other places. I would rate this place a 5 star on its grounds as it exceeds to some of the nicest and well rated hotels and resorts we have been to. However the service is inconsistent so although I want to drop it to a 4 star I imagine a better resort in the Resort is Grand to say the least it is absolutely gorgeous very modern and just perfect. The restaurants are all very upscale with a focus on presentation. The room we stayed Royal Service with a King bed and Sofa is very inviting and upscale. The beach is beautiful with the sand being perfect but the sea weed overbearing at times.The problems we encountered were directly related to Royal Service. To begin we arrived late afternoon and were not on the Royal Service list so we had to wait about 45 minutes for a room not a big deal. I tried to contact the resort to confirm reservations 2 times and I never received a response. Since we paid for Royal Service I expected a butler available for reasonable request. Three out of the six nights we tried to order wine or champagne and it never came even after multiple calls. This was disappointing finally began to make requests for a bottle of wine at 5pm and still would not receive our request by 7pm each time if we ever received it. Even with this being stated I recommend Royal Service just for the cabanas at the beach and pool in addition to restaurant and areas that you have privileged to. As we noticed that by 8am the cabanas were already taken by the non-Royal Service pool.I hope I am not overstating the disappointment with Royal Service as some staff were eager to please and did whatever they could to make your moment enjoyable. This is separate than order made for food was delivered promptly regardless of the time of day.In response to those that wander if the hotel will be able to function at full capacity well here is the review: the resort was booked for 3 of the 7 days we stayed and we never had to make reservations at any restaurant. We were sat immediately at our arrival and neither the restaurants nor the pool/beach area were crowded. All in all this is a magnificent place with 5 Star Grounds if/when they truly get the service together it will be amazing destination for anyone lucky enough to go.
50-64,FEMALE,No longer a 5 star hotel We had stayed here a few years ago and really thought it was a beautiful hotel. So based on our previous experience we decided we would stop over for two nights at the hotel before making our way to Cape Cod. The hotel is in a good location but looks as if management is cutting corners. The hotel gets a great deal of traffic and it shows. The room used for the breakfast buffet and evening cocktails is a bit shabby overcrowded and not that clean. Worst of all and to our dismay the hotel is pet friendly. Pets can be quite wonderful we have our own but please leave them at home We booked two rooms for two nights over $1000 per night. One room smelled like a cat had been in it and neglected to use the cat box The other room had pet hair on the bed and all over the carpet I do give the hotel credit for being responsive. We were given a small suite to replace the horrible smelling first room and the room with pet hair was eventually better cleaned and clothes that had picked up pet hair were laundered by the hotel at no charge to us. But it took a day and half before anyone at the hotel even admitted that it was pet friendly We just kept thinking how strange it was that someone had an animal in their room Really is that what anyone expects from a so called five-star hotel? We spent so much time when we first checked in dealing with problems that the entire stay was really ruined. Again when we complained the staff was helpful but not what I would call overly apologetic for such unacceptable conditions.This hotel clearly is banking on the fact that its location on the harbor is enough to compensate for its shortcomings. And if you stay here I recommend you ask for a room that hasnt accomodated animals
25-34,FEMALE,Great hotel My husband and I stayed at the Duquesne for 3 days in early October and we had a wonderful time. We opened the door to our corner room on the 1st floor and the room was spotless with a clear view of the Eiffel Tower. We arrived after midnight and the guy at the front desk was very welcoming. His English was ok but he had said that breakfast was included in our price. Apparently it wasnt since at check out we noticed breakfast was tacked on to our final amount. And at quite a hefty price too. That was the only issue though. Not sure on the size of the other rooms but the corner rooms are generously sized ask for a room that ends with a 5 which are the corner rooms. The shower/sink is separate from the toilet but both were very clean. The Metro is just 2 blocks away Ecole Militaire stop and there are a couple cafes along the street. There is quite a bit of street/traffic noise during the day but the windows actually do a great job in minimizing it. We had a hard time finding the street upon arrival so make sure you have good directions perhaps from the hotel. Overall had an excellent stay at the Duquesne.
50-64,FEMALE,great hotel in a great city After choosing this hotel from reviews on TripAdvisor we were not disappointed. It was comfortable beautiful and in a quiet neighborhood which was refreshing after the crowds of Barcelona. We took the Bus Touristic which was about a 10 minute walk away but the subway is about a block away and easy to use. The only thing that we were disappointed in were the lack of decent restaurants that were handy. I would recommend this hotel and would stay there again.
35-49,MALE,This is my favourite hotel Shibuya Tokyu Excel is my favourite hotel in the world. My company complained that at $300+ SGD per night its a bit expensive but it is TokyoI love the location of this hotel. Its in the trendiest part of Tokyo sitting right on top of the worlds busiest pedestrian crossing and more importantly near a pivotal railway station.The hotel room is quite small maybe not by Tokyo standards but it is very very comfortable with a nice bath and a techno toilet. The selection of beverages in the minibar is very wide - one night I had no idea what I was drinking.The best part is the Japanese breakfast. I have never had another breakfast like it and it has modified my food habits. As a bonus its served at the top of the hotel so theres an excellent view to be had of Tokyo central.I am looking forward to my next trip to Tokyo and I will definitely be staying here.
18-24,MALE,Perfect escape The hotel and service was perfect and worth far more than 3 stars. Check in was smooth and the staff were very friendly throughout our whole stay. The room was always spotless and had plenty of space. Each day your room also gets free bottled water so you can avoid the bali belly. The resort is aimed at those wanting a romantic peaceful getaway. Not many children around which we personally saw as a major plus. The building itself looks very nice and has some grand stonework which looks even better in the night-light. There is a nice selection of shops and food onsite the breakfast included in your stay has a great choice and a lot of foods are cooked to order infront of you omelettes etc. They also offer room service until the early hours however if you wanted to try a wider selection of local cuisine there are plenty of restaurants right outside the gates on the main road. Try the Bamki HotplateAs with any holiday you need to reserve your sun lounger early in busy periods but the hotel do their best to help by not allowing towels to be hired until after 9am breakfast. The pools themselves are lovely.The onsite massage parlour is also worth a visit all guests get a free Jet Lag 15 minute massage card but paying for one of the more indepth treatments is well worth itThe overall feel of the place is a relaxing clean friendly environment where you can be at peace away from the hustle bustle of street traders. If you do wish to venture out and see some of the island the hotel can offer good deals on tours to some of the major attractions. This can also all be added to your room bill if you wish to pay at the end of your holiday.Having toured past some of the other hotels on the island I saw no where else that compared to the Puri Santrian and we would definitely go back
35-49,MALE,There isnt a better hotel in NYC I have gone to NYC at least 10 times over the last 4 years. I have stayed at hotels that were rated highly and upon arrival I cringed wondering if the reviews were posted by the hotel staff themselves or crack addicts..But the Affina Dumont This was a little different.All I can say is wow We arrived December 26th at 12:15 PM. Early check-in. No problem. High Floor. No problem. From the doorman to the bellman to the front desk to housekeeping everyone was 100% helpful kind and gracious. Not only upon arrival but the entire 7 days we stayed there.And they remained so while checking out and saying goodbye.All I know is from now on when I go to NYC the Affina Dumont is where I plan on staying.The neighborhood is great. Good bars restaurants groceries etc. Plus if you shop and find you have a lot to bring home there us a UPS Store up the street. You can drop off all your goodies and they will box it up and ship it back to you.You can walk around town easily from here. I actually walked from Kitchen to the hotel one day at it was a pleasant walk.The 6 line is around the corner and if you know how to use the subway you can get anywhere you want easily.I really cannot say enough about this hotel.Go and stay there. You will not be disappointed.
18-24,FEMALE,Beautiful beautiful beautiful The beach stretched for miles
50-64,FEMALE,PRIVATE AND COMFORTABLE WOW-They gave us a wonderful executive suite and it was very quiet. It was a 10 minute walk from the train station. This particular hotel does not offer lotion so bring your own and they also run out of face towels. Housekeeping is not that great we had to go behind them to clean things off. Its an older building and the ceilings in the room are low so I wouldnt suggest anyone over 6 feet to stay in the executive suite and it also does not offer a bathtub but a huge shower. But this hotel is centrally located to everything and I would stay there again. I would also not suggest using there internet from the room it may not connect  but they do have a business office on the first floor. Jose the Concerige was very nice and accomodating and made our stay very nice.
35-49,MALE,Opaque pricing but still pretty good I like CityInns but their pricing has gone crazy. Their rates change daily and the staff are totally inflexible so my tip would be to book a flexible rate ie one that is cancellable without charge and wait and see if they offer others nearer the date of your stay as we ended up getting a double Club room with taxes and breakfast normally GBP 19.50 per person for GBP 119 per night with 4 drinks vouchers worth GBP 9.75 each thrown in and a late check out till 4 pm worth at least 25 quid. This was the Summer in the City special.Club rooms are no bigger than normal rooms but do give you a better class of service / attention. One moan: why do they offer you a 4 pm checkout and then have housekeeping knocking you up at 10 amLocation is great staff pretty friendly though some of them lack basic English dont know what a bathrobe or dressing gown is for example dont know what brown sauce is. I always try and stay here but Ive had my fingers burned with non-refundable rates at other CityInns so thought Id share my experiences
